time,mag_energy
6.066017359043613,6.0171787168224185e-15
8.08597084617882,9.212908819465668e-15
10.105924333314025,1.3797004342414272e-14
12.125877820449233,2.5891074258253708e-14
14.145831307584439,6.105021897764472e-14
16.165784794719645,8.425527590943096e-14
18.185738281854853,1.6619343557698172e-13
20.205691768990057,2.9273456807793455e-13
22.225645256125265,4.774420579718376e-13
24.245598743260473,6.016590011256643e-13
26.265552230395677,1.4824332212283133e-12
28.285505717530885,2.999699651840519e-12
30.30545920466609,6.227314839555145e-12
32.3254126918013,7.84271565731846e-12
34.3453661789365,1.4161211642407677e-11
36.36531966607171,2.7989379732805714e-11
38.38527315320692,6.081657737279731e-11
40.40522664034212,1.1412308073542431e-10
42.42518012747733,2.0977432164438525e-10
44.44513361461254,4.5327489029335376e-10
46.46508710174774,7.127750854302253e-10
48.48504058888295,1.5089612127034406e-09
50.50499407601816,2.6189702477844598e-09
52.52494756315336,6.040771269128145e-09
54.544901050288566,1.0409655252547462e-08
56.56485453742378,1.759483415216236e-08
58.58480802455898,3.030093003391017e-08
60.604761511694186,5.5186494535317286e-08
62.6247149988294,1.216845824881547e-07
64.6446684859646,2.0755036661263863e-07
66.66462197309981,3.428675236162344e-07
68.68457546023501,6.188117715582543e-07
70.70452894737022,1.372447292269549e-06
72.72448243450543,2.8024872516217e-06
74.74443592164063,5.7158549565669e-06
76.76438940877584,1.321082776486168e-05
78.78434289591105,2.9017548444307605e-05
80.80429638304625,5.21570663307478e-05
82.82424987018146,8.635427716301742e-05
84.84420335731667,0.00012849948444169037
86.86415684445187,0.0002481634982826271
88.88411033158708,0.0003019872415860669
90.90406381872229,0.00048665161111028233
92.92401730585749,0.0007041139958444015
94.9439707929927,0.0014582600700237714
96.96392428012791,0.0020172375900373803
98.98387776726311,0.002628309244844773
101.00383125439832,0.003474646649291825
103.02378474153352,0.0055974822103061865
105.04373822866873,0.007739165694252171
107.06369171580394,0.009590958443850722
109.08364520293914,0.010343319586584574
111.10359869007435,0.01264710235102052
113.12355217720956,0.010847856454455665
115.14350566434476,0.013401324790469805
117.16345915147997,0.012058374079583168
119.18341263861518,0.012293459249639456
121.20336612575038,0.007869019176703964
123.22331961288559,0.00900132458274144
125.2432731000208,0.009899744818995531
127.263226587156,0.010664230530391021
129.2831800742912,0.011121985545031509
131.30313356142642,0.01448375573603047
133.32308704856163,0.013519950594363407
135.34304053569682,0.01267463011701107
137.36299402283203,0.012850174465131833
139.38294750996724,0.012239996970259967
141.40290099710245,0.013961698291755854
143.42285448423766,0.010754374080524083
145.44280797137287,0.009537527310811906
147.46276145850806,0.008557420440330301
149.48271494564327,0.009348414947385409
151.50266843277848,0.007510154873644366
153.5226219199137,0.00967755631517116
155.5425754070489,0.011487204898361539
157.5625288941841,0.01622764687837337
159.5824823813193,0.022414458042784403
161.6024358684545,0.017905301245602037
163.62238935558972,0.015262415252609261
165.64234284272493,0.015146205393133817
167.66229632986014,0.012035897035791039
169.68224981699535,0.01676622139613834
171.70220330413053,0.014566431359100905
173.72215679126575,0.010798044048755602
175.74211027840096,0.011980175614420961
177.76206376553617,0.00949199916332151
179.78201725267138,0.010571714757992083
181.8019707398066,0.01197952355309792
183.82192422694177,0.013040416611939226
185.841877714077,0.015604996610356517
187.8618312012122,0.0170646232963204
189.8817846883474,0.017999592994967853
191.90173817548262,0.02034044396631776
193.92169166261783,0.019989191430317136
195.94164514975301,0.01515934243851969
197.96159863688823,0.010796318957330303
199.98155212402344,0.011341462843120098
6.066017359043613,6.0171787168224185e-15
8.08597084617882,9.212908819465668e-15
10.105924333314025,1.3797004342414272e-14
12.125877820449233,2.5891074258253708e-14
14.145831307584439,6.105021897764472e-14
16.165784794719645,8.425527590943096e-14
18.185738281854853,1.6619343557698172e-13
20.205691768990057,2.9273456807793455e-13
22.225645256125265,4.774420579718376e-13
24.245598743260473,6.016590011256643e-13
26.265552230395677,1.4824332212283133e-12
28.285505717530885,2.999699651840519e-12
30.30545920466609,6.227314839555145e-12
32.3254126918013,7.84271565731846e-12
34.3453661789365,1.4161211642407677e-11
36.36531966607171,2.7989379732805714e-11
38.38527315320692,6.081657737279731e-11
40.40522664034212,1.1412308073542431e-10
42.42518012747733,2.0977432164438525e-10
44.44513361461254,4.5327489029335376e-10
46.46508710174774,7.127750854302253e-10
48.48504058888295,1.5089612127034406e-09
50.50499407601816,2.6189702477844598e-09
52.52494756315336,6.040771269128145e-09
54.544901050288566,1.0409655252547462e-08
56.56485453742378,1.759483415216236e-08
58.58480802455898,3.030093003391017e-08
60.604761511694186,5.5186494535317286e-08
62.6247149988294,1.216845824881547e-07
64.6446684859646,2.0755036661263863e-07
66.66462197309981,3.428675236162344e-07
68.68457546023501,6.188117715582543e-07
70.70452894737022,1.372447292269549e-06
72.72448243450543,2.8024872516217e-06
74.74443592164063,5.7158549565669e-06
76.76438940877584,1.321082776486168e-05
78.78434289591105,2.9017548444307605e-05
80.80429638304625,5.21570663307478e-05
82.82424987018146,8.635427716301742e-05
84.84420335731667,0.00012849948444169037
86.86415684445187,0.0002481634982826271
88.88411033158708,0.0003019872415860669
90.90406381872229,0.00048665161111028233
92.92401730585749,0.0007041139958444015
94.9439707929927,0.0014582600700237714
96.96392428012791,0.0020172375900373803
98.98387776726311,0.002628309244844773
101.00383125439832,0.003474646649291825
103.02378474153352,0.0055974822103061865
105.04373822866873,0.007739165694252171
107.06369171580394,0.009590958443850722
109.08364520293914,0.010343319586584574
111.10359869007435,0.01264710235102052
113.12355217720956,0.010847856454455665
115.14350566434476,0.013401324790469805
117.16345915147997,0.012058374079583168
119.18341263861518,0.012293459249639456
121.20336612575038,0.007869019176703964
123.22331961288559,0.00900132458274144
125.2432731000208,0.009899744818995531
127.263226587156,0.010664230530391021
129.2831800742912,0.011121985545031509
131.30313356142642,0.01448375573603047
133.32308704856163,0.013519950594363407
135.34304053569682,0.01267463011701107
137.36299402283203,0.012850174465131833
139.38294750996724,0.012239996970259967
141.40290099710245,0.013961698291755854
143.42285448423766,0.010754374080524083
145.44280797137287,0.009537527310811906
147.46276145850806,0.008557420440330301
149.48271494564327,0.009348414947385409
151.50266843277848,0.007510154873644366
153.5226219199137,0.00967755631517116
155.5425754070489,0.011487204898361539
157.5625288941841,0.01622764687837337
159.5824823813193,0.022414458042784403
161.6024358684545,0.017905301245602037
163.62238935558972,0.015262415252609261
